Year of Death,Locality,Locality Name,Drug Class,Death Count,Death Rate
2015,51125,Nelson,All Drugs,0,0
2016,51530,Buena Vista City,All Drugs,0,0
2018,51183,Sussex,All Drugs,*,*
2016,51117,Mecklenburg,Heroin,0,0
2015,51137,Orange,N SS S Opioids,7,19.78
2018,51173,Smyth,Methadone,0,0
2015,51127,New Kent,N SS Opioids,0,0
2016,51193,Westmoreland,Heroin,*,*
2016,51031,Campbell,N SS Opioids,*,*
2017,51700,Newport News,All Drugs,30,16.72
2016,51600,Fairfax City,S Opioids No Methadone,*,*
2017,51137,Orange,Any Opioids,5,13.86
2015,51107,Loudoun,Heroin,8,2.13
2017,51600,Fairfax City,N SS S Opioids,6,24.90
2017,51640,Galax,S Opioids No Methadone,0,0
2016,51720,Norton,Heroin,0,0
2016,51109,Louisa,Rx N SS Methadone,0,0
2015,51810,Virginia Beach,Rx N SS Methadone,15,3.31
2016,51520,Bristol,Rx N SS Methadone,0,0
2018,51600,Fairfax City,N SS S Opioids,*,*
2018,51700,Newport News,All Drugs,36,20.14
2015,51101,King William,Methadone,0,0
2016,51690,Martinsville,Rx N SS Methadone,*,*
2016,51087,Henrico,N SS Opioids,11,3.37
2016,51017,Bath,Heroin,0,0
2018,51640,Galax,S Opioids No Methadone,0,0
2018,51137,Orange,Any Opioids,11,30.02
2015,51021,Bland,Heroin,0,0
2015,51009,Amherst,Heroin,0,0
2017,51051,Dickenson,Heroin,*,*
2018,51167,Russell,Rx N SS Methadone,*,*
2017,51550,Chesapeake,Any Opioids,33,13.73
2016,51063,Floyd,Any Opioids,0,0
2015,51660,Harrisonburg,All Drugs,*,*
2018,51595,Emporia,All Drugs,*,*
2016,51169,Scott,Any Opioids,*,*
2016,51059,Fairfax,Methadone,*,*
2018,51117,Mecklenburg,All Drugs,10,32.63
2018,51530,Buena Vista City,Heroin,0,0
2017,51155,Pulaski,Methadone,*,*
2016,51163,Rockbridge,Heroin,0,0
2018,51193,Westmoreland,All Drugs,*,*
2016,51011,Appomattox,Any Opioids,*,*
2015,51540,Charlottesville,All Drugs,*,*
2018,51610,Falls Church,N SS Opioids,*,*
2017,51159,Richmond County,S Opioids No Methadone,*,*
2016,51159,Richmond County,N SS S Opioids,0,0
2017,51650,Hampton,All Drugs,20,14.85
2016,51063,Floyd,N SS S Opioids,0,0
2017,51099,King George,N SS S Opioids,9,34.17
2016,51099,King George,S Opioids No Methadone,*,*
2017,51013,Arlington,Heroin,7,2.98
2016,51169,Scott,N SS S Opioids,*,*
2015,51840,Winchester,N SS Opioids,0,0
2017,51135,Nottoway,Rx N SS Methadone,0,0
2016,51683,Manassas City,N SS Opioids,*,*
2018,51800,Suffolk,Methadone,*,*
2016,51029,Buckingham,Rx N SS Methadone,0,0
2016,51085,Hanover,All Drugs,11,10.54
2015,51155,Pulaski,Any Opioids,*,*
2016,51185,Tazewell,All Drugs,6,14.23
2016,51191,Washington,Rx N SS Methadone,*,*
2017,51041,Chesterfield,Methadone,*,*
2017,51760,Richmond City,All Drugs,80,35.24
2017,51141,Patrick,Heroin,0,0
2016,51131,Northampton,N SS Opioids,*,*
2016,51183,Sussex,Heroin,*,*
2016,51105,Lee,Any Opioids,*,*
2018,51035,Carroll,Any Opioids,*,*
2018,51121,Montgomery,Any Opioids,7,7.07
2016,51670,Hopewell,Methadone,0,0
2015,51079,Greene,Rx N SS Methadone,0,0
2018,51065,Fluvanna,Any Opioids,7,26.14
2016,51067,Franklin County,N SS S Opioids,11,19.62
2016,51660,Harrisonburg,Rx N SS Methadone,*,*
2017,51007,Amelia,Methadone,0,0
2015,51165,Rockingham,N SS S Opioids,*,*
2015,51115,Mathews,S Opioids No Methadone,*,*
2016,51149,Prince George,Heroin,0,0
2018,51790,Staunton,Rx N SS Methadone,0,0
2017,51067,Franklin County,S Opioids No Methadone,*,*
2018,51111,Lunenburg,S Opioids No Methadone,0,0
2015,51091,Highland,N SS S Opioids,0,0
2016,51011,Appomattox,N SS S Opioids,*,*
2017,51011,Appomattox,S Opioids No Methadone,0,0
2018,51735,Poquoson,Any Opioids,0,0
2018,51630,Fredericksburg,N SS Opioids,0,0
2016,51145,Powhatan,All Drugs,*,*
2016,51159,Richmond County,Any Opioids,0,0
2016,51173,Smyth,N SS S Opioids,*,*
2016,51141,Patrick,Any Opioids,*,*
2017,51105,Lee,Heroin,0,0
2017,51165,Rockingham,All Drugs,8,9.97
2017,51183,Sussex,Any Opioids,*,*
2015,51187,Warren,S Opioids No Methadone,*,*
2018,51047,Culpeper,Rx N SS Methadone,5,9.64
2016,51079,Greene,S Opioids No Methadone,0,0
2016,51083,Halifax,Any Opioids,*,*
2016,51075,Goochland,Heroin,*,*
2018,51175,Southampton,Methadone,*,*
2017,51820,Waynesboro,Rx N SS Methadone,*,*
2018,51036,Charles City,Rx N SS Methadone,0,0
2018,51161,Roanoke County,Any Opioids,13,13.82
2018,51059,Fairfax,N SS S Opioids,65,5.65
2018,51097,King and Queen,Rx N SS Methadone,0,0
2018,51049,Cumberland,Rx N SS Methadone,0,0
2015,51025,Brunswick,Methadone,0,0
2016,51047,Culpeper,N SS Opioids,*,*
2015,51191,Washington,All Drugs,8,14.65
2015,51181,Surry,N SS S Opioids,0,0
2015,51580,Covington,N SS S Opioids,0,0
2015,51141,Patrick,Rx N SS Methadone,*,*
2018,51710,Norfolk,Heroin,19,7.78
2015,51025,Brunswick,S Opioids No Methadone,0,0
2017,51187,Warren,Methadone,*,*
2017,51079,Greene,Heroin,*,*
2018,51069,Frederick,Heroin,5,5.66
2017,51101,King William,N SS Opioids,*,*
2018,51570,Colonial Heights,S Opioids No Methadone,6,33.65
2018,51061,Fauquier,Rx N SS Methadone,*,*
2015,51109,Louisa,N SS Opioids,*,*
2015,51185,Tazewell,Any Opioids,7,16.32
2017,51830,Williamsburg,Heroin,*,*
2016,51155,Pulaski,All Drugs,9,26.31
2015,51087,Henrico,Rx N SS Methadone,10,3.08
2015,51680,Lynchburg,S Opioids No Methadone,*,*
2017,51775,Salem,Rx N SS Methadone,*,*
2017,51059,Fairfax,All Drugs,113,9.84
2015,51520,Bristol,N SS Opioids,*,*
2015,51085,Hanover,Any Opioids,12,11.62
2016,51730,Petersburg,N SS Opioids,*,*
2017,51119,Middlesex,Any Opioids,*,*
2015,51770,Roanoke City,Methadone,*,*
2018,51685,Manassas Park,S Opioids No Methadone,0,0
2017,51115,Mathews,All Drugs,*,*
2015,51085,Hanover,Heroin,9,8.72
2017,51139,Page,Methadone,0,0
2015,51103,Lancaster,Any Opioids,0,0
2015,51075,Goochland,All Drugs,*,*
2018,51153,Prince William,N SS S Opioids,41,8.76
2015,51185,Tazewell,Heroin,0,0
2016,51137,Orange,All Drugs,16,45.03
2016,51550,Chesapeake,Rx N SS Methadone,9,3.78
2016,51125,Nelson,N SS S Opioids,5,33.63
2018,51678,Lexington,All Drugs,*,*
2015,51770,Roanoke City,Heroin,5,5.01
2018,51177,Spotsylvania,All Drugs,29,21.60
2017,51179,Stafford,S Opioids No Methadone,10,6.82
2016,51133,Northumberland,Rx N SS Methadone,0,0
2018,51147,Prince Edward,All Drugs,*,*
2016,51037,Charlotte,N SS Opioids,0,0
2018,51161,Roanoke County,N SS S Opioids,10,10.63
2015,51065,Fluvanna,N SS Opioids,0,0
2017,51750,Radford,All Drugs,0,0
2018,51145,Powhatan,Heroin,*,*
2017,51067,Franklin County,Methadone,0,0
2018,51670,Hopewell,N SS S Opioids,8,35.40
2015,51775,Salem,N SS S Opioids,*,*
2017,51087,Henrico,N SS S Opioids,46,14.03
2016,51630,Fredericksburg,Rx N SS Methadone,*,*
2015,51171,Shenandoah,Rx N SS Methadone,7,16.21
2017,51053,Dinwiddie,N SS Opioids,*,*
2015,51730,Petersburg,Any Opioids,*,*
2015,51800,Suffolk,N SS Opioids,*,*
2015,51097,King and Queen,N SS Opioids,0,0
2015,51049,Cumberland,N SS Opioids,0,0
2018,51145,Powhatan,Rx N SS Methadone,*,*
2018,51157,Rappahannock,S Opioids No Methadone,0,0
2017,51133,Northumberland,All Drugs,*,*
2015,51157,Rappahannock,N SS Opioids,*,*
2017,51029,Buckingham,Any Opioids,*,*
2018,51097,King and Queen,S Opioids No Methadone,*,*
2015,51620,Franklin City,N SS S Opioids,*,*
2017,51735,Poquoson,All Drugs,0,0
2018,51049,Cumberland,S Opioids No Methadone,0,0
2015,51510,Alexandria,Any Opioids,9,5.86
2018,51740,Portsmouth,All Drugs,27,28.53
2017,51071,Giles,N SS Opioids,*,*
2016,51167,Russell,N SS Opioids,*,*
2015,51033,Caroline,N SS Opioids,*,*
2018,51153,Prince William,Any Opioids,44,9.40
2015,51045,Craig,Any Opioids,0,0
2016,51019,Bedford,Any Opioids,*,*
2015,51103,Lancaster,N SS S Opioids,0,0
2018,51011,Appomattox,Heroin,0,0
2017,51179,Stafford,Methadone,*,*
2015,51043,Clarke,Any Opioids,*,*
2017,51111,Lunenburg,Heroin,0,0
2015,51041,Chesterfield,Rx N SS Methadone,8,2.38
2017,51017,Bath,S Opioids No Methadone,0,0
2016,51023,Botetourt,Methadone,0,0
2017,51720,Norton,S Opioids No Methadone,0,0
2018,51119,Middlesex,All Drugs,*,*
2018,51620,Franklin City,Heroin,0,0
2016,51595,Emporia,S Opioids No Methadone,0,0
2017,51199,York,N SS S Opioids,5,7.38
2015,51730,Petersburg,N SS S Opioids,*,*
2016,51061,Fauquier,Any Opioids,23,33.29
2016,51031,Campbell,N SS S Opioids,5,9.10
2015,51127,New Kent,N SS S Opioids,*,*
2015,51101,King William,S Opioids No Methadone,*,*
2017,51680,Lynchburg,N SS Opioids,*,*
2015,51137,Orange,N SS Opioids,*,*
2016,51610,Falls Church,Rx N SS Methadone,0,0
2016,51775,Salem,Any Opioids,*,*
2018,51199,York,N SS S Opioids,5,7.37
2015,51075,Goochland,Rx N SS Methadone,*,*
2015,51570,Colonial Heights,N SS Opioids,0,0
2015,51135,Nottoway,All Drugs,0,0
2016,51600,Fairfax City,Methadone,0,0
2018,51680,Lynchburg,N SS Opioids,*,*
2018,51195,Wise,Methadone,0,0
2017,51143,Pittsylvania,Rx N SS Methadone,0,0
2015,51153,Prince William,Rx N SS Methadone,12,2.66
2017,51013,Arlington,Methadone,*,*
2018,51083,Halifax,All Drugs,8,23.45
2016,51101,King William,All Drugs,5,30.61
2015,51750,Radford,N SS S Opioids,0,0
2017,51730,Petersburg,All Drugs,15,47.24
2015,51127,New Kent,All Drugs,*,*
2017,51199,York,All Drugs,7,10.33
2018,51161,Roanoke County,All Drugs,17,18.07
2018,51157,Rappahannock,Rx N SS Methadone,0,0
2015,51125,Nelson,N SS Opioids,0,0
2016,51031,Campbell,All Drugs,7,12.74
2018,51147,Prince Edward,N SS S Opioids,*,*
2018,51073,Gloucester,Heroin,*,*
2016,51103,Lancaster,Heroin,0,0
2018,51183,Sussex,N SS Opioids,0,0
2016,51187,Warren,Heroin,*,*
2017,51083,Halifax,Rx N SS Methadone,*,*
2015,51670,Hopewell,Rx N SS Methadone,0,0
2016,51079,Greene,Methadone,0,0
2018,51159,Richmond County,Heroin,0,0
2016,51033,Caroline,Methadone,*,*
2017,51540,Charlottesville,Rx N SS Methadone,0,0
2018,51510,Alexandria,Heroin,*,*
2016,51570,Colonial Heights,All Drugs,6,33.76
2018,51103,Lancaster,All Drugs,*,*
2016,51171,Shenandoah,S Opioids No Methadone,5,11.58
2018,51075,Goochland,Any Opioids,0,0
2018,51595,Emporia,N SS Opioids,*,*
2017,51171,Shenandoah,N SS S Opioids,8,18.51
2016,51161,Roanoke County,Heroin,5,5.32
2015,51111,Lunenburg,N SS Opioids,0,0
2016,51073,Gloucester,All Drugs,12,32.25
2015,51630,Fredericksburg,S Opioids No Methadone,*,*
2015,51740,Portsmouth,N SS S Opioids,13,13.51
2018,51041,Chesterfield,S Opioids No Methadone,56,16.07
2018,51830,Williamsburg,Any Opioids,0,0
2016,51133,Northumberland,N SS Opioids,0,0
2018,51119,Middlesex,Heroin,0,0
2016,51037,Charlotte,Rx N SS Methadone,0,0
2016,51007,Amelia,N SS S Opioids,*,*
2018,51620,Franklin City,All Drugs,*,*
2017,51069,Frederick,Any Opioids,16,18.50
2016,51153,Prince William,All Drugs,51,11.20
2015,51810,Virginia Beach,Methadone,*,*
2017,51630,Fredericksburg,Any Opioids,5,17.63
2017,51610,Falls Church,N SS S Opioids,*,*
2015,51101,King William,Rx N SS Methadone,*,*
2016,51610,Falls Church,S Opioids No Methadone,*,*
2016,51690,Martinsville,Methadone,0,0
2018,51173,Smyth,Rx N SS Methadone,0,0
2017,51685,Manassas Park,All Drugs,*,*
2018,51840,Winchester,S Opioids No Methadone,*,*
2017,51087,Henrico,All Drugs,65,19.82
2016,51007,Amelia,Heroin,*,*
2015,51775,Salem,All Drugs,*,*
2015,51059,Fairfax,Rx N SS Methadone,25,2.19
2018,51147,Prince Edward,Any Opioids,*,*
2016,51135,Nottoway,Any Opioids,*,*
2018,51800,Suffolk,S Opioids No Methadone,*,*
2017,51135,Nottoway,N SS S Opioids,0,0
2017,51683,Manassas City,Any Opioids,6,14.46
2018,51125,Nelson,N SS Opioids,*,*
2015,51073,Gloucester,Heroin,*,*
2015,51161,Roanoke County,All Drugs,10,10.59
2015,51147,Prince Edward,N SS S Opioids,*,*
2018,51127,New Kent,All Drugs,*,*
2015,51157,Rappahannock,Rx N SS Methadone,*,*
2015,51183,Sussex,N SS Opioids,0,0
2016,51670,Hopewell,N SS Opioids,*,*
2016,51175,Southampton,N SS S Opioids,*,*
2015,51177,Spotsylvania,N SS S Opioids,11,8.43
2017,51175,Southampton,S Opioids No Methadone,0,0
2015,51678,Lexington,N SS S Opioids,0,0
2015,51690,Martinsville,Heroin,0,0
2016,51810,Virginia Beach,Heroin,27,5.97
2017,51057,Essex,All Drugs,0,0
2016,51810,Virginia Beach,Methadone,*,*
2017,51171,Shenandoah,Any Opioids,10,23.13
2015,51610,Falls Church,S Opioids No Methadone,0,0
2018,51075,Goochland,N SS S Opioids,0,0
2017,51143,Pittsylvania,All Drugs,7,11.43
2016,51101,King William,Rx N SS Methadone,*,*
2015,51153,Prince William,All Drugs,32,7.08
2018,51091,Highland,Rx N SS Methadone,0,0
2017,51730,Petersburg,Rx N SS Methadone,*,*
2015,51690,Martinsville,Methadone,*,*
2018,51089,Henry,Any Opioids,11,21.59
2017,51640,Galax,N SS S Opioids,0,0
2018,51187,Warren,All Drugs,10,25.00
2015,51037,Charlotte,All Drugs,0,0
2017,51097,King and Queen,Rx N SS Methadone,0,0
2017,51049,Cumberland,Rx N SS Methadone,*,*
2017,51059,Fairfax,N SS S Opioids,89,7.75
2016,51155,Pulaski,N SS S Opioids,8,23.39
2017,51185,Tazewell,N SS Opioids,*,*
2017,51109,Louisa,Any Opioids,7,19.52
2015,51181,Surry,All Drugs,0,0
2017,51520,Bristol,Any Opioids,0,0
2017,51085,Hanover,N SS Opioids,*,*
2017,51580,Covington,Methadone,0,0
2017,51620,Franklin City,Rx N SS Methadone,0,0
2016,51025,Brunswick,Methadone,0,0
2017,51147,Prince Edward,N SS Opioids,0,0
2015,51047,Culpeper,N SS Opioids,5,10.11
2017,51177,Spotsylvania,N SS Opioids,6,4.51
2017,51678,Lexington,N SS Opioids,0,0
2017,51093,Isle of Wight,Heroin,*,*
2017,51175,Southampton,Methadone,0,0
2015,51035,Carroll,Methadone,*,*
2017,51036,Charles City,Rx N SS Methadone,0,0
2016,51710,Norfolk,S Opioids No Methadone,40,16.32
2018,51820,Waynesboro,Rx N SS Methadone,*,*
2017,51161,Roanoke County,Any Opioids,18,19.20
2015,51610,Falls Church,Heroin,0,0
2015,51683,Manassas City,All Drugs,*,*
2016,51840,Winchester,All Drugs,11,39.97
2017,51025,Brunswick,Any Opioids,*,*
2015,51179,Stafford,Heroin,8,5.63
2016,51580,Covington,Any Opioids,0,0
2018,51520,Bristol,All Drugs,*,*
2016,51005,Alleghany,Heroin,0,0
2018,51109,Louisa,All Drugs,8,21.75
2018,51193,Westmoreland,Rx N SS Methadone,0,0
2018,51117,Mecklenburg,Rx N SS Methadone,*,*
2017,51165,Rockingham,S Opioids No Methadone,*,*
2015,51067,Franklin County,N SS S Opioids,*,*
2015,51149,Prince George,Heroin,*,*
2016,51115,Mathews,S Opioids No Methadone,0,0
2018,51071,Giles,Heroin,0,0
2015,51660,Harrisonburg,Rx N SS Methadone,*,*
2016,51165,Rockingham,N SS S Opioids,*,*
2018,51015,Augusta,S Opioids No Methadone,*,*
2015,51037,Charlotte,N SS Opioids,0,0
2015,51133,Northumberland,Rx N SS Methadone,0,0
2017,51165,Rockingham,Methadone,*,*
2016,51065,Fluvanna,N SS Opioids,0,0
2017,51043,Clarke,Rx N SS Methadone,0,0
2017,51077,Grayson,N SS Opioids,0,0
2016,51660,Harrisonburg,N SS Opioids,*,*
2015,51710,Norfolk,Rx N SS Methadone,13,5.28
2018,51141,Patrick,Heroin,*,*
2017,51035,Carroll,Any Opioids,*,*
2017,51121,Montgomery,Any Opioids,10,10.15
2018,51041,Chesterfield,Methadone,*,*
2018,51760,Richmond City,All Drugs,72,31.47
2018,51067,Franklin County,Heroin,5,8.90
2016,51171,Shenandoah,Methadone,*,*
2017,51800,Suffolk,All Drugs,10,11.08
2018,51087,Henrico,S Opioids No Methadone,33,10.02
2015,51630,Fredericksburg,Methadone,0,0
2016,51640,Galax,N SS Opioids,0,0
2015,51061,Fauquier,S Opioids No Methadone,*,*
2018,51149,Prince George,N SS S Opioids,*,*
2017,51810,Virginia Beach,Any Opioids,56,12.43
2015,51595,Emporia,Any Opioids,0,0
2018,51003,Albemarle,All Drugs,6,5.52
2018,51019,Bedford,Any Opioids,*,*
2015,51073,Gloucester,N SS S Opioids,*,*
2017,51685,Manassas Park,Any Opioids,*,*
2015,51147,Prince Edward,Heroin,0,0
2016,51153,Prince William,Any Opioids,47,10.32
2017,51630,Fredericksburg,All Drugs,6,21.16
2016,51025,Brunswick,S Opioids No Methadone,*,*
2018,51047,Culpeper,Any Opioids,12,23.14
2017,51760,Richmond City,Rx N SS Methadone,14,6.17
2016,51580,Covington,N SS S Opioids,0,0
2017,51025,Brunswick,N SS S Opioids,*,*
2016,51141,Patrick,Rx N SS Methadone,*,*
2017,51183,Sussex,Rx N SS Methadone,0,0
2016,51191,Washington,All Drugs,5,9.22
2017,51580,Covington,S Opioids No Methadone,*,*
2016,51181,Surry,N SS S Opioids,0,0
2017,51095,James City,All Drugs,10,13.24
2016,51790,Staunton,All Drugs,*,*
2016,51590,Danville,S Opioids No Methadone,*,*
2018,51530,Buena Vista City,N SS Opioids,0,0
2017,51051,Dickenson,N SS Opioids,*,*
